mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1210.58251547186_3.785832,1210.58251547186,3.785832,4332.3585,Cluster_754.436482588225_3.7783756,1210.58251547186_3.785832;754.436482588225_3.7783756,2
1210.58368836768_4.0201635,1210.58368836768,4.0201635,2022.3317,1210.58368836768_4.0201635,1210.58368836768_4.0201635,1
1212.5995506509_4.1152945,1212.5995506509,4.1152945,11948.881000000001,Cluster_1212.5995506509_4.1152945,1212.5995506509_4.1152945;617.794745182534_4.1154957,2
1217.59136825534_6.1657095,1217.59136825534,6.1657095,4506.85125,1217.59136825534_6.1657095,1217.59136825534_6.1657095,1
1226.57844656233_3.580536,1226.57844656233,3.580536,3163.2405,Cluster_624.783964411822_3.579794,1226.57844656233_3.580536;1390.646518056_3.5956514;624.783964411822_3.579794;770.431146271262_3.5819783,4
1226.57868221005_3.7575889,1226.57868221005,3.7575889,2640.5389999999998,1226.57868221005_3.7575889,1226.57868221005_3.7575889,1
1227.60037439773_5.0931444,1227.60037439773,5.0931444,9877.751,Cluster_903.500121845477_5.0891066,1227.60037439773_5.0931444;903.500121845477_5.0891066,2
1228.59491949469_3.8650029,1228.59491949469,3.8650029,25389.1875,Cluster_1228.59491949469_3.8650029,1228.59491949469_3.8650029;1229.59824615073_3.859043,2
1228.59535506144_3.6373556,1228.59535506144,3.6373556,130457.53,Cluster_1228.59535506144_3.6373556,1228.59535506144_3.6373556;1228.66741499238_3.6372025;1250.57673425982_3.637812;610.39449652878_3.639939;623.314427574958_3.6380138;641.761101018059_3.6405299;772.447238124815_3.63696,7
1228.66741499238_3.6372025,1228.66741499238,3.6372025,8581.607,Cluster_1228.59535506144_3.6373556,1228.59535506144_3.6373556;1228.66741499238_3.6372025;1250.57673425982_3.637812;610.39449652878_3.639939;623.314427574958_3.6380138;641.761101018059_3.6405299;772.447238124815_3.63696,7
1229.59824615073_3.859043,1229.59824615073,3.859043,15366.342499999999,Cluster_1228.59491949469_3.8650029,1228.59491949469_3.8650029;1229.59824615073_3.859043,2
1235.56536719325_4.9219894,1235.56536719325,4.9219894,6892.38185,Cluster_906.504863170248_4.925169,1235.56536719325_4.9219894;1362.65231352762_4.9263606;1367.60797440269_4.9255667;1370.62536483914_4.9410596;1383.58204215081_4.9310246;415.320453183029_4.9247713;577.373094715937_4.925367;613.301303807658_4.937423;692.820619705149_4.9265585;695.800296777988_4.9265594;711.430448878064_4.9152365;744.452260955918_4.9251685;752.421077473611_4.9329796;873.482757941611_4.93093;906.504863170248_4.925169,15
1237.57845619826_4.9474177,1237.57845619826,4.9474177,3012.24745,Cluster_696.807404705657_4.9494042,1237.57845619826_4.9474177;696.807404705657_4.9494042,2
1240.59421196927_4.32268,1240.59421196927,4.32268,4141.911,1240.59421196927_4.32268,1240.59421196927_4.32268,1
1246.60542423019_3.887051,1246.60542423019,3.887051,13876.911,Cluster_634.797375535345_3.8876474,1246.60542423019_3.887051;1268.58701569838_3.8862722;625.792060457649_3.8846672;626.293687854936_3.8798985;628.404921664161_3.885662;634.797375535345_3.8876474;772.447036390128_3.8848674;790.457721142785_3.885661,8
1250.57673425982_3.637812,1250.57673425982,3.637812,15114.09,Cluster_1228.59535506144_3.6373556,1228.59535506144_3.6373556;1228.66741499238_3.6372025;1250.57673425982_3.637812;610.39449652878_3.639939;623.314427574958_3.6380138;641.761101018059_3.6405299;772.447238124815_3.63696,7
1268.58701569838_3.8862722,1268.58701569838,3.8862722,4887.0115000000005,Cluster_634.797375535345_3.8876474,1246.60542423019_3.887051;1268.58701569838_3.8862722;625.792060457649_3.8846672;626.293687854936_3.8798985;628.404921664161_3.885662;634.797375535345_3.8876474;772.447036390128_3.8848674;790.457721142785_3.885661,8
1268.59007971284_4.1923685,1268.59007971284,4.1923685,50318.1325,Cluster_1268.59007971284_4.1923685,1268.59007971284_4.1923685;1290.57151989222_4.190978;643.312106965516_4.1917377;645.78962792033_4.190183;650.389414967971_4.1905794;812.442126382277_4.1915746,6
1270.60517329849_3.8705647,1270.60517329849,3.8705647,24767.0645,Cluster_814.457651658925_3.8707638,1270.60517329849_3.8705647;634.394352931524_3.8707645;646.797289985135_3.8685775;652.405293352673_3.8705647;814.457651658925_3.8707638,5
